video_id,jahr,datum_text,titel,seiten_url
1980631,2019,27 декабря 57 мин Эфир от 27.12.2019 (18:50). О разведчиках и террористах,27 декабря,https://smotrim.ru/video/1980631
1980422,2019,27 декабря 57 мин Эфир от 27.12.2019 (12:50). По горячим следам,27 декабря,https://smotrim.ru/video/1980422
1980257,2019,"26 декабря 58 мин Эфир от 26.12.2019 (18:50). Отныне на Украине любая информация из России, кроме не",26 декабря,https://smotrim.ru/video/1980257
1979984,2019,26 декабря 57 мин Эфир от 26.12.2019 (12:50). По горячим следам,26 декабря,https://smotrim.ru/video/1979984
1979745,2019,25 декабря 57 мин Эфир от 25.12.2019 (18:50). Первый пассажирский поезд проехал по Крымскому мосту,25 декабря,https://smotrim.ru/video/1979745
1979594,2019,25 декабря 57 мин Эфир от 25.12.2019 (12:50). По горячим следам,25 декабря,https://smotrim.ru/video/1979594
1979342,2019,24 декабря 56 мин Эфир от 24.12.2019 (18:50). Дорогая десоветизация,24 декабря,https://smotrim.ru/video/1979342
1979195,2019,24 декабря 58 мин Эфир от 24.12.2019 (12:50). По горячим следам,24 декабря,https://smotrim.ru/video/1979195
1978945,2019,23 декабря 57 мин Эфир от 23.12.2019 (18:50). Открыто железнодорожное сообщение с Крымом,23 декабря,https://smotrim.ru/video/1978945
1978795,2019,23 декабря 57 мин Эфир от 23.12.2019 (12:50). По горячим следам,23 декабря,https://smotrim.ru/video/1978795
1978106,2019,20 декабря 58 мин Эфир от 20.12.2019 (18:50). Преступник открыл огонь,20 декабря,https://smotrim.ru/video/1978106
1977877,2019,20 декабря 58 мин Эфир от 20.12.2019 (12:50). По горячим следам,20 декабря,https://smotrim.ru/video/1977877
1977582,2019,19 декабря 58 мин Эфир от 19.12.2019 (17:25). Большая пресс-конференция президента,19 декабря,https://smotrim.ru/video/1977582
1977494,2019,19 декабря 30 мин Эфир от 19.12.2019. По горячим следам,19 декабря,https://smotrim.ru/video/1977494
1977160,2019,18 декабря 58 мин Эфир от 18.12.2019 (18:50). Украинцам ужесточили выезд из страны,18 декабря,https://smotrim.ru/video/1977160
1977010,2019,18 декабря 57 мин Эфир от 18.12.2019 (12:50). По горячим следам,18 декабря,https://smotrim.ru/video/1977010
1976758,2019,17 декабря 57 мин Эфир от 17.12.2019 (18:50). Бессрочный протест на Украине,17 декабря,https://smotrim.ru/video/1976758
1976603,2019,17 декабря 57 мин Эфир от 17.12.2019 (12:50). По горячим следам,17 декабря,https://smotrim.ru/video/1976603
1976354,2019,16 декабря 58 мин Эфир от 16.12.2019 (18:50). Зеленский решил изменить территориальное устройство Ук,16 декабря,https://smotrim.ru/video/1976354
1976189,2019,16 декабря 57 мин Эфир от 16.12.2019 (12:50). По горячим следам,16 декабря,https://smotrim.ru/video/1976189
1975512,2019,13 декабря 57 мин Эфир от 13.12.2019 (18:50). Зеленский хочет изменить минские соглашения,13 декабря,https://smotrim.ru/video/1975512
1975034,2019,12 декабря 57 мин Эфир от 12.12.2019 (18:50). Убийство Шеремета раскрыто,12 декабря,https://smotrim.ru/video/1975034
1974829,2019,12 декабря 57 мин Эфир от 12.12.2019 (12:50). По горячим следам,12 декабря,https://smotrim.ru/video/1974829
1974547,2019,11 декабря 58 мин Эфир от 11.12.2019 (18:50). Предатели в центре Европы,11 декабря,https://smotrim.ru/video/1974547
1974383,2019,11 декабря 57 мин Эфир от 11.12.2019 (12:50). По горячим следам,11 декабря,https://smotrim.ru/video/1974383
1974122,2019,10 декабря 57 мин Эфир от 10.12.2019 (18:50). О чем договорились на саммите в Париже,10 декабря,https://smotrim.ru/video/1974122
1973947,2019,10 декабря 57 мин Эфир от 10.12.2019 (12:50). По горячим следам,10 декабря,https://smotrim.ru/video/1973947
1973701,2019,"9 декабря 63 мин Эфир от 09.12.2019 (18:50). В Париже проходит встреча в ""нормандском формате""",9 декабря,https://smotrim.ru/video/1973701
1973498,2019,9 декабря 57 мин Эфир от 09.12.2019. По горячим следам,9 декабря,https://smotrim.ru/video/1973498
1972747,2019,"6 декабря 58 мин Эфир от 06.12.2019 (18:50). Зеленский прибыл в Донбасс, чтобы убедиться в готовност",6 декабря,https://smotrim.ru/video/1972747
1972533,2019,6 декабря 58 мин Эфир от 06.12.2019 (12:50). По горячим следам,6 декабря,https://smotrim.ru/video/1972533
1972246,2019,5 декабря 57 мин Эфир от 05.12.2019 (18:50). На границе с Донбассом Украина построит стену,5 декабря,https://smotrim.ru/video/1972246
1971716,2019,4 декабря 57 мин Эфир от 04.12.2019 (18:50). Зеленский выразил отношение к нормандскому формату,4 декабря,https://smotrim.ru/video/1971716
1971538,2019,4 декабря 58 мин Эфир от 04.12.2019 (12:50). По горячим следам,4 декабря,https://smotrim.ru/video/1971538
1971264,2019,3 декабря 57 мин Эфир от 03.12.2019 (18:50). Макрон заявил о смерти мозга НАТО,3 декабря,https://smotrim.ru/video/1971264
1971096,2019,3 декабря 58 мин Эфир от 03.12.2019 (12:50). По горячим следам,3 декабря,https://smotrim.ru/video/1971096
1970829,2019,2 декабря 58 мин Эфир от 02.12.2019 (18:50). Ходьба Зеленского на месте,2 декабря,https://smotrim.ru/video/1970829
1970659,2019,2 декабря 57 мин Эфир от 02.12.2019 (12:50). По горячим следам,2 декабря,https://smotrim.ru/video/1970659
1969968,2019,29 ноября 59 мин Эфир от 29.11.2019 (18:50). Украина снова хочет воровать российский газ,29 ноября,https://smotrim.ru/video/1969968
1969797,2019,29 ноября 58 мин Эфир от 29.11.2019 (12:50). По горячим следам,29 ноября,https://smotrim.ru/video/1969797
1969542,2019,"28 ноября 58 мин Эфир от 28.11.2019 (18:50). Ни газа, ни молока",28 ноября,https://smotrim.ru/video/1969542
1969357,2019,28 ноября 57 мин Эфир от 28.11.2019 (12:50). По горячим следам,28 ноября,https://smotrim.ru/video/1969357
1969085,2019,27 ноября 58 мин Эфир от 27.11.2019 (18:50). Девять туристов РФ вернулись домой после страшного ДТП ,27 ноября,https://smotrim.ru/video/1969085
