year,period,pattern,total_pattern_matches,total_collocates_lr,unique_collocates,avg_freq_per_collocate
2019,Early (2019-2021),abtreibung,7,42,33,1.27
2019,Early (2019-2021),aussterben,25,142,76,1.87
2019,Early (2019-2021),bevoelkerung,1361,8390,2775,3.02
2019,Early (2019-2021),bevoelkerungsrueckgang,7,42,28,1.5
2019,Early (2019-2021),bevoelkerungszahl,28,191,138,1.38
2019,Early (2019-2021),bevoelkerungszuwachs,22,125,110,1.14
2019,Early (2019-2021),demografie,58,327,223,1.47
2019,Early (2019-2021),demografische_krise,1,7,7,1.0
2019,Early (2019-2021),demografischer_mangel_verlust,0,0,0,0.0
2019,Early (2019-2021),duma,417,2494,1188,2.1
2019,Early (2019-2021),ehe,85,506,385,1.31
2019,Early (2019-2021),eltern_elternschaft,235,1334,744,1.79
2019,Early (2019-2021),empfaengnis,0,0,0,0.0
2019,Early (2019-2021),erziehung,139,740,482,1.54
2019,Early (2019-2021),familie,640,3692,1635,2.26
2019,Early (2019-2021),frau,761,4571,1991,2.3
2019,Early (2019-2021),geburt_gebaeren,354,2091,1048,2.0
2019,Early (2019-2021),geburtenrate,38,227,173,1.31
2019,Early (2019-2021),geistig_religioes,341,1992,1073,1.86
2019,Early (2019-2021),generation,160,965,534,1.81
2019,Early (2019-2021),gesetz,5298,30136,6228,4.84
2019,Early (2019-2021),heimat_vaterland,470,2743,1284,2.14
2019,Early (2019-2021),kinder,1751,9925,3265,3.04
2019,Early (2019-2021),land_staatlicher_raum,8599,49550,8739,5.67
2019,Early (2019-2021),mann,303,1825,1014,1.8
2019,Early (2019-2021),muetterlich_vaeterlich,20,119,87,1.37
2019,Early (2019-2021),mutter_mutterschaft,185,1045,652,1.6
2019,Early (2019-2021),mutterschaftskapital,15,91,66,1.38
2019,Early (2019-2021),nation_national,1328,8311,2900,2.87
2019,Early (2019-2021),norm_ordnung_kultur_gesellschaft,6179,35491,7402,4.79
2019,Early (2019-2021),patriotismus_identitaet_souveraenitaet,870,5095,1941,2.62
2019,Early (2019-2021),propaganda,473,2745,1371,2.0
2019,Early (2019-2021),regierung,1117,6715,2495,2.69
2019,Early (2019-2021),reproduktion_fachbegriff,3,20,13,1.54
2019,Early (2019-2021),russland_russisch,25782,152009,17917,8.48
2019,Early (2019-2021),schwangerschaft,31,175,115,1.52
2019,Early (2019-2021),schwangerschaftsabbruch,0,0,0,0.0
2019,Early (2019-2021),sorge_fuersorge,121,660,427,1.55
2019,Early (2019-2021),staat,4286,25996,5866,4.43
2019,Early (2019-2021),unfruchtbarkeit,0,0,0,0.0
2019,Early (2019-2021),vater_vaterschaft,216,1229,773,1.59
2019,Early (2019-2021),verantwortung_pflicht,2002,11310,2726,4.15
2019,Early (2019-2021),volk,4166,24959,5772,4.32
2019,Early (2019-2021),werte_moral_tradition,976,5598,2224,2.52
2019,Early (2019-2021),west_liberal_lgbt,1653,9705,3235,3.0
2019,Early (2019-2021),zuhause_haeuslichkeit,1122,6390,2615,2.44
2019,Early (2019-2021),zukunft,664,3776,1656,2.28
2020,Early (2019-2021),abtreibung,18,111,73,1.52
2020,Early (2019-2021),aussterben,18,100,64,1.56
2020,Early (2019-2021),bevoelkerung,1508,9295,2989,3.11
2020,Early (2019-2021),bevoelkerungsrueckgang,3,18,18,1.0
2020,Early (2019-2021),bevoelkerungszahl,46,295,212,1.39
2020,Early (2019-2021),bevoelkerungszuwachs,145,827,407,2.03
2020,Early (2019-2021),demografie,86,524,326,1.61
2020,Early (2019-2021),demografische_krise,5,27,18,1.5
2020,Early (2019-2021),demografischer_mangel_verlust,0,0,0,0.0
2020,Early (2019-2021),duma,688,4221,1546,2.73
2020,Early (2019-2021),ehe,208,1219,758,1.61
2020,Early (2019-2021),eltern_elternschaft,397,2302,1125,2.05
2020,Early (2019-2021),empfaengnis,0,0,0,0.0
2020,Early (2019-2021),erziehung,211,1180,656,1.8
2020,Early (2019-2021),familie,1341,7872,2575,3.06
2020,Early (2019-2021),frau,1149,6783,2742,2.47
2020,Early (2019-2021),geburt_gebaeren,441,2667,1257,2.12
2020,Early (2019-2021),geburtenrate,29,169,121,1.4
2020,Early (2019-2021),geistig_religioes,552,3311,1530,2.16
2020,Early (2019-2021),generation,281,1682,829,2.03
2020,Early (2019-2021),gesetz,4272,24079,5514,4.37
2020,Early (2019-2021),heimat_vaterland,640,3797,1636,2.32
2020,Early (2019-2021),kinder,2907,16670,4491,3.71
2020,Early (2019-2021),land_staatlicher_raum,10962,63687,9975,6.38
2020,Early (2019-2021),mann,506,3015,1420,2.12
2020,Early (2019-2021),muetterlich_vaeterlich,179,1150,480,2.4
2020,Early (2019-2021),mutter_mutterschaft,358,2132,1123,1.9
2020,Early (2019-2021),mutterschaftskapital,161,1035,421,2.46
2020,Early (2019-2021),nation_national,1642,10522,3329,3.16
2020,Early (2019-2021),norm_ordnung_kultur_gesellschaft,6357,36099,7615,4.74
2020,Early (2019-2021),patriotismus_identitaet_souveraenitaet,686,3933,1617,2.43
2020,Early (2019-2021),propaganda,525,3080,1468,2.1
2020,Early (2019-2021),regierung,2312,14520,3823,3.8
2020,Early (2019-2021),reproduktion_fachbegriff,13,84,71,1.18
2020,Early (2019-2021),russland_russisch,20422,122857,15442,7.96
2020,Early (2019-2021),schwangerschaft,129,762,448,1.7
2020,Early (2019-2021),schwangerschaftsabbruch,0,0,0,0.0
2020,Early (2019-2021),sorge_fuersorge,159,865,528,1.64
2020,Early (2019-2021),staat,5006,31008,6352,4.88
2020,Early (2019-2021),unfruchtbarkeit,7,37,35,1.06
2020,Early (2019-2021),vater_vaterschaft,248,1378,853,1.62
2020,Early (2019-2021),verantwortung_pflicht,2918,16562,3174,5.22
2020,Early (2019-2021),volk,2964,17654,4499,3.92
2020,Early (2019-2021),werte_moral_tradition,1376,7896,2781,2.84
2020,Early (2019-2021),west_liberal_lgbt,2829,16650,4665,3.57
2020,Early (2019-2021),zuhause_haeuslichkeit,2532,14893,4246,3.51
2020,Early (2019-2021),zukunft,714,4015,1755,2.29
2021,Early (2019-2021),abtreibung,14,85,63,1.35
